symbol name USD_price
ZVC ZVCHAIN 0.203656342
ANT Aragon 0.674316346
RCN "Ripio Credit Network" 0.039449281
TWM TronWatchMarket 0.02681998
LOOM "Loom Network" 0.020520104
TLOS Telos 0.088689272
WAN Wanchain 0.185485374
ILC ILCoin 0.062277214
XAC "General Attention Currency" 1.925317153
BNT Bancor 0.306796437
MXM "MaxiMine Coin" 0.011361413
TOMO TomoChain 0.287771544
TSY TronSociety 0.000622106
HBAR "Hedera Hashgraph" 0.028564681
POWR "Power Ledger" 0.042587522
SXDT "Spectre Dividend Token" 0.215487739
DCN Dentacoin 3.2188e-05
SAN "Santiment Network Token" 0.276052766
IQ Everipedia 0.001708367
IOTX IoTeX 0.003923471
MB8 "MB8 Coin" 0.028811049
GNY GNY 0.089001824
RUDRA "Rudra India Holdings" 0.648950868
C20 Crypto20 0.411033798
NXS Nexus 0.256194544
IGNIS Ignis 0.021634799
COCOS Cocos-BCX 0.001034712
STORJ Storj 0.117336405
MTL Metal 0.309320298
CS Credits 0.08668083
VOX Voxels 0.0
ROX Robotina 0.05195865
BIX "Bibox Token" 0.144901146
BTU2 "BTU Protocol" 0.221213836
ULT Ultiledger 0.024033772
TEL Telcoin 0.000390628
GEMS GEMS 0.003801146
APL "Apollo Currency" 0.001030562
GNO Gnosis 13.57
ADN Aladdin 0.00046606
KAN BitKan 0.002404378
FSN Fusion 0.414101215
GBYTE Obyte 21.45
MBC2 MicroBitcoin 7.5137e-05
TCHTX ThoreCash 0.182212158
EDO Eidoo 0.272028909
CELR "Celer Network" 0.004272009
LML "Lisk Machine Learning" 0.0
GRS Groestlcoin 0.184320813
RET RealTract 0.001264081
DPT2 "Diamond Network Coin" 13.05
PIVX PIVX 0.235687872
FO FIBOS 0.012553351
DIVI "Divi Project" 0.010038925
VITAE Vitae 0.740975089
MAN "Matrix AI Network" 0.068325826
LOKI Loki 0.296746151
HARMONY Harmony 0.00496846
BSH "Bitcoin Stash" 0.610688524
WXT "Wirex Token" 0.012809484
MDA "Moeda Loyalty Points" 0.652263977
NKN NKN 0.027416539
CND Cindicator 0.007092276
SYS Syscoin 0.022011254
DDK DDKoin 7.3
CM CyberMiles 0.01556347
NYE "NewYork Exchange" 3.84
QSP Quantstamp 0.01981781
TFUEL "Theta Fuel" 0.003186646
XCHF CryptoFranc 1.013687324
LEND ETHLend 0.010801877
ABT ArcBlock 0.122933373
QKC QuarkChain 0.004735942
DAPS "DAPS Coin" 0.000227372
EMB EmberCoin 0.000127733
WGR Wagerr 0.062966474
GAS Gas 1.156553394
UTT "United Traders Token" 0.310137796
NXT Nxt 0.011637841
QRL "Quantum Resistant Ledger" 0.162503003
PLA2 PlayChip 0.000797251
AGI SingularityNET 0.020624422
UNO Unobtanium 54.73
B2B B2BX 0.555747727
ZRC ZrCoin 2.38
TCH2 "Tiger Cash" 0.016090787
TKN TokenCard 0.347787418
EUM "Elitium Staking" 1.110474832
UIP UnlimitedIP 0.008456558
GMAT GoWithMi 0.003827475
POLY "Polymath Network" 0.02355835
VTC Vertcoin 0.199863311
EOSC "EOS Force" 0.010689586
DAC "Davinci Coin" 0.002851018
SKY Skycoin 0.639995673
CRE2 "Carry Protocol" 0.003769225
TNB "Time New Bank" 0.003441725
ERD "Elrond Network" 0.001407591
OTO OTOCASH 0.452359235
STABL "Stable Coin" 7.66
XLAB "XcelToken Plus" 0.001689149
PAY TenX 0.069939849
SAFE2 Safe 0.448510669
TRUE "True Chain" 0.200944247
EMC2 Einsteinium 0.042217778
ZT ZTCoin 0.04091596
CTXC Cortex 0.061331025
ATR3 AsterionSpace 0.070052628
UTK UTRUST 0.020217944
CSC CasinoCoin 0.000229872
HYC HYCON 0.004454635
REQ "Request Network" 0.012190444
NOAH "Noah Coin" 0.000271511
BFT "BF Token" 0.012127174
1ST FirstBlood 0.102295028
LCC "Litecoin Cash" 0.013461057
COS Contentos 0.013570506
DATA Streamr 0.012822938
PRS PressOne 0.030165058
ITC "IoT Chain" 0.102800422
STREAM "STREAMIT COIN" 2.29
MITH Mithril 0.012266437
CWV "CWV Chain" 0.002378888
GUSD "Gemini Dollar" 0.995185361
SAFEX "Safe Exchange Coin" 0.005288547
CVNT "Content Value Network" 0.015286651
TWX TWX 0.000271492
FOR3 "The Force Protocol" 0.032635157
CDT CoinDash 0.0123424
MFT Mainframe 0.000910447
DRGN Dragonchain 0.033602788
UGAS Ultrain 0.046516559
DAG Constellation 0.009289191
SLS SaluS 7.87
AEN Aenco 0.030396728
FX "Function X" 0.068668671
DTX "DataBroker DAO" 0.072963125
BITCNY bitCNY 0.140176356
RSR "Reserve Rights" 0.001848579
STORM Storm 0.001217998
AWR AWARE 0.0
OMI ECOMI 5.1086e-05
PART Particl 0.949271996
GTO Gifto 0.0126706
EGT Egretia 0.001812705
MEDX Medibloc 0.002220003
ACT Achain 0.007921393
LEMO LemoChain 0.004723112
RDN "Raiden Network" 0.148834968
EVX Everex 0.329641066
HUM2 Humanscape 0.000182819
LBA Cred 0.013743451
OCN2 "Ocean Protocol" 0.021871135
PERL Perlin 0.027788106
XRC2 "Bitcoin Rhodium" 8.58
META2 Metadium 0.005818126
FNB "FNB Protocol" 0.011458143
REPO REPO 0.065647874
TRIO Tripio 0.001893222
OGO "Origo Network" 0.018094366
BHPC BHPCash 0.0
PLR Pillar 0.02703962
WABI Tael 0.127403677
TCT TokenClub 0.014486024
PEOS pEOS 0.008363351
LEVL Levolution 0.289726187
MDT "Measurable Data Token" 0.012401424
TEN Tokenomy 0.034527861
IRIS "IRIS Network" 0.016540668
LOCUS "Locus Chain" 0.00895404
PGN Pigeoncoin 0.001813793
VALOR "Smart Valor" 0.340106119
CBT "Commerce Block" 0.038992716
VEO Amoveo 101.14
GO GoChain 0.008197454
POE Po.et 0.00214985
SOC "All Sports" 0.004455434
TAAS TaaS 0.817233297
TTC2 "TTC Protocol" 0.033442331
NEBL Neblio 0.436622474
ATMOS Atmos 0.064993279
RUFF Ruff 0.006666095
NEC Nectar 0.079227659
HPT "Huobi Pool Token" 0.006813177
BURST Burst 0.003125292
XPX ProximaX 0.001058356
BLOCK Blocknet 1.037693595
STPT "Standard Tokenization Protocol" 0.009395468
TKY THEKEY 0.001228133
BAY BitBay 0.006359802
INS Insolar 0.197018626
FOAM "FOAM Protocol" 0.022042367
SNL "Sport and Leisure" 0.00924598
CPT3 "Contents Protocol" 0.002043739
LOC LockTrip 0.415044827
EDR "E-Dinar Coin" 0.00075
TOP2 "TOP Network" 0.00194448
DUSK "Dusk Network" 0.053762904
ELI Eligma 0.030610823
KIN Kin 4.974e-06
PPP PayPie 0.072971976
EVR Everus 0.013151926
PPC Peercoin 0.232590598
ORS "Origin Sport" 0.019719296
HPB "High Performance Blockchain" 0.134253094
SIX SIX 0.021223251
OCN Odyssey 0.000866562
S4F S4FE 0.021655968
XMC "Monero Classic" 0.334457295
MTH Monetha 0.014253936
BORA BORA 0.008505277
DGX "Digix Gold Token" 46.74
QQQ "Poseidon Network" 0.00266081
SENSE Sense 0.010876744
SNGLS SingularDTV 0.009190531
IPC IPChain 0.069914139
USDQ USDQ 0.999644363
NMC Namecoin 0.371602204
ADX AdEx 0.068287206
NPX NaPoleonX 0.224217222
PMA PumaPay 0.000223269
MBL2 MovieBloc 0.001422797
NAV "NAV Coin" 0.080204995
BDP BidiPass 0.025540151
XRL Rialto 0.06454781
CFI Cofound.it 0.0
MERI Merebel 0.175628921
BLZL Bluzelle 0.024965398
DBC "DeepBrain Chain" 0.001644597
TRV2 TrustVerse 0.0
CAS Cashaa 0.006775724
ANKR "Ankr Network" 0.002020591
SPND Spendcoin 0.005343155
POLIS Polis 0.602017602
LTO "LTO Network" 0.0273679
XDN DigitalNote 0.00068457
NCASH "Nucleus Vision" 0.00084631
VBK VeriBlock 0.009424767
RPL "Rocket Pool" 0.502263224
MWAT "Restart Energy" 0.012330823
GVT "Genesis Vision" 1.099394779
PHX "Red Pulse Phoenix" 0.005860008
DAPP LiquidApps 0.012590986
FLO FlorinCoin 0.033331492
IDEX IDEX 0.010710207
MET Metronome 0.501176904
BAND "Band Protocol" 0.306924018
NMR Numeraire 3.56
SBD "Steem Dollars" 0.643693391
PROPY Propy 0.098072785
AERGO Aergo 0.04488409
WPR WePower 0.007664965
VIA Viacoin 0.200067601
CVT CyberVein 0.004347743
MORPH "Morpheus Network" 0.139158826
IHF "Invictus Hyperion Fund" 0.038465308
CHSB SwissBorg 0.007912538
FLUZ "Fluz Fluz" 0.022218693
PTT "Proton Token" 0.000545124
VIBE VIBE 0.01731841
SMT SmartMesh 0.003358136
KAASO KAASO 0.182880363
UUU "U Network" 0.000642043
BMC "Blackmoon Crypto" 0.213281554
COSM "Cosmo Coin" 0.006652048
FRAS "FRASINDO FRAS COIN" 0.044437386
MLN Melon 3.53
WBTC "Wrapped Bitcoin" 7728.84
DROP Dropil 0.000193625
BET DAObet 0.026327979
BOX3 "BOX Token" 0.043281618
TDX "Tidex Token" 0.452509133
ETHOS Ethos 0.043740725
LALA "LALA World" 0.017091302
AVA Travala 0.095809516
NLG Gulden 0.008506265
NPXSXEM "Pundi X NEM" 0.000204228
SNM SONM 0.011761237
UDOO Howdoo 0.043052628
CHIP RealCasino 0.000876708
DKKT "DKK Token" 0.1397645
XAS Asch 0.044913635
SNET Snetwork 0.025708439
DADI DADI 0.055891613
HYDRO Hydro 0.000622466
VIB Viberate 0.021661964
SOUL2 "Phantasma Protocol" 0.044856833
XSN Stakenet 0.045782767
MPAY MenaPay 0.042710842
TIOX "Trade Token X" 0.047299744
QUN QunQun 0.006079789
AT2 Artfinity 0.032804798
HBT "Hubii Network" 0.260217233
QLC QLINK 0.016327175
SMART SmartCash 0.002770979
NEU NeuFund 0.104683029
GET "GUTS Tickets" 0.343216052
XDCE XinFin 0.000993419
APPC AppCoins 0.038987614
PEPECASH "Pepe Cash" 0.005543822
CREDO BitBounce 0.0
RKT "Rock GBX" 0.0
LYM Lympo 0.004661509
XCP Counterparty 1.472478251
NPW "New Power Coin" 0.0
VEE BLOCKv 0.001429603
USDS2 StableUSD 1.001067316
MOD Modum 0.178509506
BOLT Bolt 0.009074704
SWM Swarm 0.047551219
DEX DEX 0.019459915
KEY Selfkey 0.001294224
SWFTC SwftCoin 0.001017685
SRN "SIRIN LABS Token" 0.007505748
ALG2 Bitalgo 1.760397833
AMB Ambrosus 0.025441236
TRIG Triggers 0.0
INE IntelliShare 0.01994223
DNT district0x 0.006073217
AST AirSwap 0.024291362
BTX Bitcore 0.209069583
POA "Oracles Network" 0.016395033
ZEL Zelcash 0.044183592
VITE VITE 0.008576671
JNT "Jibrel Network" 0.020923115
YOYOW YOYOW 0.011776933
MRJA GanjaCoin 0.0
DDD Scry.info 0.008019469
NCT PolySwarm 0.002280872
CRON CRYPTOCEAN 0.544401323
DERO DERO 0.418116458
AUTO Cube 0.000518968
HMC2 "Hi Mutual Society" 0.00869967
ARN Aeron 0.174994172
BOS BOScoin 0.005007027
CLR1 "Color Platform" 0.026208801
APIS Apis 0.000383121
CAJ Cajutel 2.52
BMX "BitMart Token" 0.021084969
FUEL Etherparty 0.003391614
VDG VeriDocGlobal 0.000431944
UBQ Ubiq 0.078932009
BCPT BlockMason 0.028649536
EMC Emercoin 0.074479287
PST Primas 0.062883791
OROM "Orom Token" 0.05095504
BAAS BaaSid 0.000747453
DLT "Agrello Delta" 0.038153655
EMRX "Emirex Token" 0.14774846
DOCK dock.io 0.010867771
GCR "Global Currency Reserve" 0.030578917
STACS STACS 0.006219294
CLAM Clams 0.842865324
CTC "Credit Tag Chain" 0.053791697
CMS COMSA 0.033539424
DMT DMarket 0.056214623
AXE AXE 0.638786645
XAUR Xaurum 0.041467154
GEN2 DAOstack 0.076277683
BST4 BlockStamp 0.100797972
AEON Aeon 0.19586604
DTA DATA 0.00031557
ECA Electra 0.000107147
PPY Peerplays 0.680116601
GOT2 ParkinGo 0.196583632
VEIL Veil 0.07013744
OST "Simple Token" 0.010536841
NPC NPCoin 0.041900957
ECOM Omnitude 0.046677341
ERC20 ERC20 0.060299096
LC2 Lichang 0.000415751
RFR Refereum 0.000731347
RSTR Ondori 5.18e-06
AXE2 AXE 0.599190771
WINGS Wings 0.031112028
VNT2 "VNT Chain" 0.001147097
MCASH Mcashchain 0.025284017
NIX NIX 0.068555295
BITUSD bitUSD 0.933667056
TERN Ternio 0.008814689
AU AurumCoin 0.0
VID VideoCoin 0.187548769
UPP "Sentinel Protocol" 0.009349143
PLBT Polybius 0.731425891
XWC WhiteCoin 0.011458272
BTO Bottos 0.005250192
CNN "Content Neutrality Network" 7.3435e-05
BLK BlackCoin 0.045402762
KCASH Kcash 0.006420725
RNT "OneRoot Network" 0.009995552
KRI Krios 0.015929166
PNT Penta 0.000134006
ARRR "Pirate Chain" 0.022249425
RBLX Rublix 0.135113574
RTH Rotharium 0.834818298
QCX "QuickX Protocol" 0.007145477
UTN Universa 0.001502856
NYN Nynja 0.001841632
ZUC ZeuxCoin 0.014407751
UOS Ultra 0.030210935
GNX "Genaro Network" 0.010633452
ATCC "ATC Coin" 0.007355916
KST StarCoin 0.001792397
MITX "Morpheus Labs" 0.007762852
MOBI Mobius 0.005210282
GAMEC Game 0.00352167
MIR "MIR COIN" 0.004295217
AKRO Akropolis 0.004965536
TRAC OriginTrail 0.00912258
AMIO "Amino Networ" 0.05899975
PVT Pivot 0.000507625
FLETA FLETA 0.008712915
SCC2 "Stem Cell" 0.008045533
XST Stealthcoin 0.088487976
BQQQ Bitsdaq 0.000945479
SUB Substratum 0.006582433
TERA2 TERA 0.005098653
GSC "Global Social Chain" 0.004570096
VIDT V-ID 0.078648713
DPY Delphy 0.040024784
PAC Paccoin 0.000334457
EDR2 "Endor Protocol" 0.003190066
CEN2 "Coinsuper Ecosystem Network" 0.006026729
XPM Primecoin 0.084115262
FAT Fatcoin 0.018319265
MDS Medishares 0.003297894
FLASH Flash 0.002711299
FTC Feathercoin 0.009543888
SICA SignatureChain 9.3718e-05
VSM VOISE 0.0
XYO "XYO Network" 0.000436267
LIT Lition 0.094087215
SCT Soma 0.245884155
VEX Vexanium 0.00337683
MEETONE MEET.ONE 0.001241284
SNC SunContract 0.019279325
TOC TouchCon 0.010133576
CAG Change 0.074581985
BTN "BitNew Chain" 0.013126463
GBC2 "Gold Bits Coin" 0.022218693
DUO ParallelCoin 7.4
PRA ProChain 0.046926201
TEMCO Temco 0.000741781
SHA2 "Safe Haven" 0.000772868
BZNT Bezant 0.003354937
DYN Dynamic 0.116385168
SENT Sentinel 0.001150835
LIN2 LineageCode 0.004583453
C3W "C3 Wallet" 0.000177532
LND Lendingblock 0.002905092
LET LinkEye 0.003730489
CCT "Carbon Chain" 0.0
ALY Ally 0.000828232
SKM "Skrumble Network" 0.002182414
ONION DeepOnion 0.138071842
MTV2 MultiVAC 0.001029555
ZUM ZumCoin 0.002239849
QRK Quark 0.008469168
IDH indaHash 0.005507114
XUC "Exchange Union" 1.099333534
ART Maecenas 0.037537046
OK OKCash 0.029226674
GENE2 "Gene Source Code Chain" 0.005806633
HIRE HireMatch 0.0
TAC "Traceability Chain" 0.003187379
ADT adToken 0.002726856
TPAY TokenPay 0.131501263
EOSDAC eosDAC 0.003228738
OVC OVCODE 0.04864188
SNTVT Sentivate 0.00093671
SPANK SpankChain 0.007097525
AFIN "Asian Fintech" 0.008506804
VIN VinChain 0.00358262
BWT Bittwatt 0.0
PI PCHAIN 0.004980301
PIA Futurepia 0.002325648
REM Remme 0.003143068
IHT "IHT Real Estate Protocol" 0.002169366
SDA SixDomainChain 0.00137414
CSNO BitDice 0.029324391
LBC "LBRY Credits" 0.007356772
OLT OneLedger 0.005760206
UKG UnikoinGold 0.014029195
CTT2 "CITEX Token" 0.043114801
LYL LoyalCoin 0.000374627
TCASH TCASH 0.05695532
LRN Loopring 0.017608509
QNTU "Quanta Utility Token" 6.8e-05
LIF "Winding Tree" 0.093112906
PAL2 "PolicyPal Network" 0.0
XBY XTRABYTES 0.004582089
LUN Lunyr 0.856863852
UT Ulord 0.015018908
LGO "Legolas Exchange" 0.014772067
FLC2 Flowchain 2.8
ZCN 0Chain 0.048032182
TUBE BitTube 0.009261788
CGCX "Calfin Global Crypto Exchange" 0.000956409
NSD Nasdacoin 0.092007539
ABYSS "Abyss Token" 0.008378556
ECC "E-Currency Coin" 7.6288e-05
PNK Kleros 0.008455584
SXUT "Spectre Utility Token" 0.077574769
TFD TE-FOOD 0.003652643
CSP Caspian 0.004251442
CPC2 CPChain 0.005007296
BOA Bosagora 0.011503467
RUNE THORChain 0.018215367
STOR "Self Storage Coin" 1.052998302
NTY Nexty 1.2354e-05
MT MyToken 0.001168127
ATN ATN 0.021991123
COLX ColossusCoinXT 0.000171255
MEE CoinMeet 0.005393546
YEE Yee 0.001330723
XTRI Triton 0.103916394
HCA Harcomia 4.06
EOSDT EOSDT 1.006153393
ALQO ALQO 0.027967804
CZR CanonChain 0.003229643
ISR Insureum 0.008445455
IQN IQeon 0.484953684
PHR Phore 0.094060945
ZCL ZClassic 0.242054137
FTI FansTime 0.000613726
MGO MobileGo 0.017434711
NGC NAGA 0.024208043
INSTAR "Insights Network" 0.011949247
XSPEC Spectrecoin 0.077065354
CLN "Colu Local Network" 0.018921894
BDT Bitdepositary 0.03245446
DCT DECENT 0.033329472
IMG ImageCoin 0.122715007
FAIR FairCoin 0.031969057
DAGT "Digital Asset Guarantee Token" 0.073512088
BC4 "Bitcoin Confidential" 0.000229872
AMON AmonD 0.004903944
AIDOC "AI Doctor" 0.003004583
GARD Hashgard 2.9421e-05
XFC Footballcoin 0.004388636
BOT Botcoin 0.0
WWB Wowoo 0.005842907
OAX OpenAnx 0.064871363
AMO "AMO Coin" 0.000204659
PCL Peculium 0.000791281
NASH "NeoWorld Cash" 7.7019e-05
DEEX Deex 0.028489078
MSP Mothership 0.011497503
NOKU Noku 0.067684769
MN8 Emanate 0.013571503
INK Ink 0.003425818
MRK MARK.SPACE 0.002038873
RBY Rubycoin 0.057625
GTP TronGameGlobalPay 0.007861168
1SG 1SG 0.720647722
DRP DCORP 0.191958888
ECOB Ecobit 0.003493699
QWC Qwertycoin 1.4786e-05
WET "WeShow Token" 0.009681497
OPQ Opacity 0.01195476
ADS Adshares 0.04406092
SSP Smartshare 0.000329774
MVP Merculet 0.000629238
CPX Apex 0.003233651
UBT Unibright 0.01087525
HTML HTMLCOIN 2.8399e-05
CHX Own 0.025544997
SPOT Cryptospot 0.001545578
EVY EveryCoin 0.000159141
XCEL XcelToken 0.0
ADRX "Adrenaline Chain" 0.002457261
CPT2 Cryptaur 0.000128527
HSC HashCoin 0.000114565
SHIP ShipChain 0.005629118
VGW "VegaWallet Token" 0.113171612
SEM Semux 0.121297221
MGD MassGrid 0.019420845
SKCH Skychain 0.194571234
IOC "I/O Coin" 0.081911185
3DC 3DCoin 0.021220996
CHAT ChatCoin 0.002100306
GRC GridCoin 0.003387714
CBC "CashBet Coin" 0.008782445
UMT Bubbletone 0.0
LFT Linfinity 0.0
CV carVertical 0.000183873
TRC Terracoin 0.061299296
LINDA Linda 0.000105687
XMY Myriad 0.000821141
GRID Grid+ 0.035504652
XCASH X-Cash 3.0278e-05
TAS2 Tarush 0.000229872
UGC ugChain 0.002419283
AXPR aXpire 0.004846175
XDB DigitalBits 0.01153866
UNI Universe 0.016245091
AMLT "AMLT Token" 0.005634533
MM2 "Moon Money Chain" 0.00280016
BOOM BOOM 0.001761267
SHP "Sharpe Capital" 0.076910861
N8V NativeCoin 0.060641084
TRST WeTrust 0.014438165
SHX "Stronghold Token" 0.000393001
KRL Kryll 0.05291111
AZ Azbit 1.8437e-05
BXC4 BonusCloud 0.000481599
LIKE LikeCoin 0.002751336
MOL Molecule 0.0
OLXA OLXA 0.000952084
BOT2 Bodhi 0.000874921
RADS Radium 0.335026258
CAR CarBlock 0.000714888
CHP CoinPoker 0.004267961
DICE1 Dice 0.0
POT PotCoin 0.005670185
FRV Fitrova 0.0
HVN "Hiveterminal Token" 0.00306945
COV Covesting 0.069790867
ELAC "ELA Coin" 0.006842331
FDZ Friendz 0.002424003
FAB "Fast Access Blockchain" 0.043880428
XQR Qredit 0.001851558
XBASE ETERBASE 0.002533177
GCC "Global Cryptocurrency" 0.0
NUSD nUSD 0.99046844
CPAY CryptoPay 0.01794101
CRD CryptalDash 0.001225986
BBKX Brickblock 0.016164719
NOS nOS 0.011766594
MTN MedicalChain 0.003905193
EXRN EXRNchain 1.3028e-05
XPD PetroDollar 0.018793916
NCC NeuroChain 0.002826206
DOT Dotcoin 0.003808094
LUX LUXCoin 0.178300203
SIN2 Sinovate 0.001839192
NOLLAR NOLLAR 1.017183684
FTN Fountain 0.014123602
VTR vTorrent 0.0
EKO EchoLink 0.002336075
WGP "W Green Pay" 0.122703668
TRTL TurtleCoin 2.0492e-05
RFOX "RedFOX Labs" 0.010739568
IMT MoneyToken 0.00012161
MYST Mysterium 0.048368011
PTON Foresting 7.6624e-05
EFL e-Gulden 0.06669954
SWIFT Bitswift 0.0
NBOT "Naka Bodhi Token" 0.018993107
HSN2 "Hyper Speed Network" 0.026865009
DMD Diamond 0.337215612
SPC SpaceChain 0.002175774
DAT Datum 0.001121839
CEEK "CEEK VR" 0.002249502
GAME GameCredits 0.01601377
UBEX Ubex 0.000359697
TAGZ TAGZ 0.002867333
XHV "Haven Protocol" 0.105503769
DIME Dimecoin 2.039e-06
